id_penanggung_jawab,nama,hubungan_dengan_pasien,id_pasien
PJ001,Rina Pratama,Ayah,P001
PJ002,Dedi Saputra,Ibu,P002
PJ003,Bayu Lestari,Suami,P003
PJ004,Sari Mahendra,Istri,P004
PJ005,Nina Putri,Anak,P005
PJ006,Lia Akbar,Kakak,P006
PJ007,Tono Anjani,Ayah,P007
PJ008,Rafa Maulida,Ibu,P008
PJ009,Maya Kurniawan,Suami,P009
PJ010,Salsa Ramadhani,Istri,P010
PJ011,Mira Alvaro,Anak,P011
PJ012,Doni Widya,Kakak,P012
PJ013,Arman Puspita,Ayah,P013
PJ014,Riko Cahyani,Ibu,P014
PJ015,Wina Rizky,Suami,P015
PJ016,Nisa Amelia,Istri,P016
PJ017,Sinta Mahesa,Anak,P017
PJ018,Asep Fauziah,Kakak,P018
PJ019,Dani Nuraini,Ayah,P019
PJ020,Lina Saptono,Ibu,P020
PJ021,Heri Maharani,Suami,P021
PJ022,Yoga Rahmasari,Istri,P022
PJ023,Siska Hidayat,Anak,P023
PJ024,Rudi Aulia,Kakak,P024
PJ025,Neli Maulana,Ayah,P025
PJ026,Rena Amalia,Ibu,P026
PJ027,Fani Salsabila,Suami,P027
PJ028,Lulu Prakoso,Istri,P028
PJ029,Mira Maharatu,Anak,P029
PJ030,Rika Pranata,Kakak,P030
PJ031,Tari Kusuma,Ayah,P031
PJ032,Hana Adiwangsa,Ibu,P032
PJ033,Bela Permata,Suami,P033
PJ034,Dion Wibowo,Istri,P034
PJ035,Tina Syahputra,Anak,P035
PJ036,Fera Melani,Kakak,P036
PJ037,Lina Oktaviani,Ayah,P037
PJ038,Wulan Lutfi,Ibu,P038
PJ039,Rama Calista,Suami,P039
PJ040,Gita Ramzi,Istri,P040
